epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.042,2.33653,3.69867,1.13961,0.00339,0.08046,0.00029,0.00016,1.76478,3.67077,1.03973,0.000555556,0.000555556,0.000555556
2,2.67923,2.3052,2.73288,1.04024,0.00742,0.65517,0.15721,0.0458,2.70308,2.96333,1.26793,0.00121012,0.00121012,0.00121012
3,3.43195,1.86444,1.11894,0.98012,1,0.19837,0.67006,0.30351,2.10769,2.20583,1.07838,0.00185149,0.00185149,0.00185149
4,4.14008,1.63216,0.94899,0.94025,0.79421,0.6092,0.66423,0.28926,2.07381,1.45522,1.08119,0.0019406,0.0019406,0.0019406
5,4.85797,1.55674,0.89041,0.90834,0.42401,0.26437,0.35628,0.14029,2.12685,2.10324,1.0804,0.0019208,0.0019208,0.0019208
6,5.55492,1.35537,0.81089,0.8923,0.68608,0.65517,0.62654,0.23391,2.38687,1.24853,1.11351,0.001901,0.001901,0.001901
7,6.29145,1.32473,0.74646,0.8856,0.79443,0.57749,0.6711,0.30612,2.0776,1.19944,1.07653,0.0018812,0.0018812,0.0018812
8,7.0683,1.29663,0.72561,0.8769,0.84412,0.6847,0.75116,0.38908,1.87756,1.14868,1.01017,0.0018614,0.0018614,0.0018614
9,7.80334,1.28705,0.71179,0.89683,0.82604,0.65495,0.75527,0.35659,1.92395,1.15793,0.98774,0.0018416,0.0018416,0.0018416
10,8.52315,1.32347,0.69787,0.90178,0.60065,0.64368,0.55801,0.26404,1.7336,1.42981,0.98854,0.0018218,0.0018218,0.0018218
11,9.26265,1.26871,0.68114,0.89108,0.53387,0.67142,0.59352,0.30443,1.6407,1.29729,0.94013,0.001802,0.001802,0.001802
12,9.95134,1.26751,0.68805,0.87985,0.5624,0.72383,0.53436,0.29057,1.55164,0.99283,0.9341,0.0017822,0.0017822,0.0017822
13,10.6411,1.20837,0.65363,0.85573,0.93088,0.7931,0.86154,0.45064,1.56826,0.85069,0.94116,0.0017624,0.0017624,0.0017624
14,11.3586,1.3016,0.66358,0.8676,0.91988,0.79185,0.85057,0.42997,1.6948,0.92173,0.9439,0.0017426,0.0017426,0.0017426
15,12.0528,1.24643,0.63967,0.86959,0.94115,0.82759,0.89244,0.48062,1.71331,0.80632,0.9395,0.0017228,0.0017228,0.0017228
16,12.782,1.2168,0.63427,0.86081,0.94517,0.87356,0.90992,0.48982,1.48889,0.6901,0.91897,0.001703,0.001703,0.001703
17,13.4836,1.15302,0.62594,0.85803,0.94932,0.86126,0.90883,0.47301,1.47051,0.74067,0.91151,0.0016832,0.0016832,0.0016832
18,14.228,1.15802,0.6376,0.85891,0.9187,0.77937,0.84941,0.47213,1.52805,0.82926,0.92475,0.0016634,0.0016634,0.0016634
19,14.9864,1.18162,0.62822,0.84351,0.93368,0.7931,0.85334,0.4262,1.66687,1.163,0.93214,0.0016436,0.0016436,0.0016436
20,15.71,1.24095,0.65918,0.86853,0.94567,0.75862,0.86349,0.48006,1.52373,0.9851,0.91252,0.0016238,0.0016238,0.0016238
21,16.4213,1.15748,0.6223,0.86169,0.92536,0.855,0.91305,0.5118,1.41803,0.77668,0.9117,0.001604,0.001604,0.001604
22,17.1521,1.18406,0.60154,0.86561,0.91092,0.82759,0.87841,0.50151,1.45071,0.77375,0.91435,0.0015842,0.0015842,0.0015842
23,17.8541,1.16809,0.58573,0.87596,0.94487,0.788,0.87776,0.49034,1.42394,0.66557,0.90818,0.0015644,0.0015644,0.0015644
24,18.5832,1.13038,0.57232,0.86511,0.92269,0.82312,0.90855,0.4785,1.56966,0.70239,0.92105,0.0015446,0.0015446,0.0015446
